deal_id,account,rep,stage,amount,actual_revenue,close_date,forecast_quarter,days_since_activity,engagement_score,has_economic_buyer,email_opens_14d,meetings_30d,stakeholders,notes,rep_forecast_amount,is_open
D-2028,Okta Identity Cloud,Amit Kulkarni,Closed Lost,159000,0,2/13/2026,2026-Q1,22,0.38,0,0,2,5,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,186000,0
D-2029,Atlassian Jira Enterprise,Arjun Verma,Closed Won,212000,212000,3/27/2026,2026-Q1,3,0.91,1,9,4,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,212000,0
D-2030,ServiceNow ITOM Suite,Ishita Rao,Closed Lost,390000,0,2/15/2026,2026-Q1,55,0.37,0,0,0,5,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",358000,0
D-2031,Deloitte Advisory Tech,Rohan Jain,Closed Won,325000,325000,1/14/2026,2026-Q1,7,0.85,1,11,3,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,325000,0
D-2032,Bajaj Finserv Lending Core,Ananya Shah,Closed Lost,281000,0,2/25/2026,2026-Q1,26,0.24,0,1,1,1,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",302000,0
D-2033,KPMG Global Consulting,Neha Desai,Closed Lost,326000,0,2/17/2026,2026-Q1,18,0.35,0,0,0,2,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,322000,0
D-2034,Schneider Electric Grid,Sneha Joshi,Closed Lost,199000,0,1/28/2026,2026-Q1,39,0.43,0,3,1,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,189000,0
D-2035,Box Content Cloud,Karan Mehta,Closed Lost,439000,0,2/15/2026,2026-Q1,18,0.42,0,0,2,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,419000,0
D-2036,Shopify Plus Scale Engine,Ananya Shah,Closed Lost,142000,0,3/14/2026,2026-Q1,43,0.17,0,2,0,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,134000,0
D-2037,IBM RedHat Openshift,Rahul Sharma,Closed Lost,216000,0,1/11/2026,2026-Q1,31,0.36,1,2,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,241000,0
D-2038,Box Content Cloud,Ishita Rao,Closed Won,363000,363000,3/14/2026,2026-Q1,7,0.92,1,16,6,2,Executive champion resigned last week. Need urgent re-threading to new VP Product.,363000,0
D-2039,Adani Green Energy,Amit Kulkarni,Closed Lost,423000,0,2/24/2026,2026-Q1,37,0.35,0,2,0,3,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,513000,0
D-2040,Schneider Electric Grid,Ishita Rao,Closed Won,55000,55000,1/11/2026,2026-Q1,4,0.9,1,13,5,1,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,55000,0
D-2041,MongoDB Atlas Migration,Vivek Rao,Closed Won,443000,443000,1/26/2026,2026-Q1,8,0.77,1,16,4,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,443000,0
D-2042,KPMG Global Consulting,Karan Mehta,Closed Lost,87000,0,3/20/2026,2026-Q1,19,0.19,0,4,1,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,105000,0
D-2043,Siemens Industrial IoT,Neha Desai,Closed Won,109000,109000,2/11/2026,2026-Q1,6,0.82,1,16,4,1,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,109000,0
D-2044,Accenture Cloud First,Neha Desai,Closed Won,424000,424000,1/19/2026,2026-Q1,3,0.8,1,9,5,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,424000,0
D-2045,Okta Identity Cloud,Amit Kulkarni,Closed Won,148000,148000,2/28/2026,2026-Q1,2,0.78,1,16,3,4,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,148000,0
D-2046,Cloudflare Zero Trust SASE,Ananya Shah,Closed Lost,240000,0,3/13/2026,2026-Q1,39,0.26,1,3,0,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,285000,0
D-2047,Shopify Plus Scale Engine,Rohan Jain,Closed Lost,72000,0,1/26/2026,2026-Q1,32,0.2,0,1,0,2,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,75000,0
D-2048,Deloitte Advisory Tech,Sneha Joshi,Closed Won,272000,272000,3/15/2026,2026-Q1,3,0.74,1,12,5,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,272000,0
D-2049,Schneider Electric Grid,Arjun Verma,Closed Lost,399000,0,3/11/2026,2026-Q1,29,0.16,0,4,2,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,479000,0
D-2050,DocuSign India,Arjun Verma,Closed Won,306000,306000,1/16/2026,2026-Q1,2,0.89,1,16,4,4,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,306000,0
D-2051,Microsoft Cloud Expansion,Rahul Sharma,Negotiation,850000,0,5/15/2026,2026-Q2,51,0.28,0,7,5,6,Economic buyer (CIO) skipped last 2 review calls. Stalled in legal for 32 days. Needs immediate executive sponsor escalation.,977000,1
D-2052,Amazon Web Services Migration,Priya Patil,Proposal,1200000,0,4/13/2026,2026-Q2,8,0.89,1,9,1,5,Multi-threaded across 4 departments. Security review passed. Target close end of month.,1380000,1
D-2053,Tata Consultancy Global IT,Amit Kulkarni,Discovery,650000,0,5/15/2026,2026-Q2,32,0.31,0,11,6,4,Economic buyer (CIO) skipped last 2 review calls. Stalled in legal for 32 days. Needs immediate executive sponsor escalation.,748000,1
D-2054,Reliance Digital Infrastructure,Sneha Joshi,Negotiation,920000,0,5/13/2026,2026-Q2,11,0.83,1,3,1,5,Multi-threaded across 4 departments. Security review passed. Target close end of month.,1058000,1
D-2055,Infosys AI Workstation Pilot,Karan Mehta,Proposal,480000,0,6/17/2026,2026-Q2,33,0.37,0,1,5,6,Economic buyer (CIO) skipped last 2 review calls. Stalled in legal for 32 days. Needs immediate executive sponsor escalation.,552000,1
D-2056,HDFC Bank Core Banking Sync,Neha Desai,Discovery,750000,0,4/20/2026,2026-Q2,3,0.71,1,4,4,2,Multi-threaded across 4 departments. Security review passed. Target close end of month.,862000,1
D-2057,Snowflake Analytics Integration,Vivek Rao,Negotiation,380000,0,4/17/2026,2026-Q2,4,0.69,1,8,5,5,Multi-threaded across 4 departments. Security review passed. Target close end of month.,437000,1
D-2058,Stripe Payments API Gateway,Ananya Shah,Proposal,420000,0,6/21/2026,2026-Q2,4,0.93,1,13,1,3,Multi-threaded across 4 departments. Security review passed. Target close end of month.,483000,1
D-2059,Salesforce CRM Data Pipeline,Rohan Jain,Discovery,550000,0,4/24/2026,2026-Q2,8,0.76,1,14,2,4,Multi-threaded across 4 departments. Security review passed. Target close end of month.,632000,1
D-2060,Wipro Cybersecurity Upgrade,Meera Nair,Negotiation,320000,0,4/11/2026,2026-Q2,12,0.7,1,2,6,2,Multi-threaded across 4 departments. Security review passed. Target close end of month.,368000,1
D-2061,Zomato Fleet Dispatch Optim,Arjun Verma,Proposal,220000,0,6/22/2026,2026-Q2,4,0.91,1,14,3,2,Multi-threaded across 4 departments. Security review passed. Target close end of month.,253000,1
D-2062,Swiggy Delivery Routing Engine,Ishita Rao,Discovery,280000,0,4/27/2026,2026-Q2,3,0.91,1,2,4,5,Multi-threaded across 4 departments. Security review passed. Target close end of month.,322000,1
D-2063,Flipkart Q4 Big Billion Cloud,Rahul Sharma,Negotiation,890000,0,4/25/2026,2026-Q2,48,0.26,0,6,2,4,Economic buyer (CIO) skipped last 2 review calls. Stalled in legal for 32 days. Needs immediate executive sponsor escalation.,1023000,1
D-2064,Uber Enterprise Mobility API,Priya Patil,Proposal,460000,0,6/17/2026,2026-Q2,10,0.83,1,6,5,3,Multi-threaded across 4 departments. Security review passed. Target close end of month.,529000,1
D-2065,Databricks Lakehouse Analytics,Amit Kulkarni,Discovery,510000,0,5/18/2026,2026-Q2,5,0.84,1,11,1,6,Multi-threaded across 4 departments. Security review passed. Target close end of month.,586000,1
D-2066,Cisco Unified Comms Modernize,Sneha Joshi,Negotiation,640000,0,4/15/2026,2026-Q2,6,0.73,1,8,4,4,Multi-threaded across 4 departments. Security review passed. Target close end of month.,736000,1
D-2067,Oracle Cloud Database Engine,Karan Mehta,Proposal,590000,0,5/13/2026,2026-Q2,11,0.91,1,13,4,4,Multi-threaded across 4 departments. Security review passed. Target close end of month.,678000,1
D-2068,Paytm Merchant Gateway Sync,Neha Desai,Discovery,260000,0,5/17/2026,2026-Q2,8,0.75,1,7,3,3,Multi-threaded across 4 departments. Security review passed. Target close end of month.,299000,1
D-2069,Bharti Airtel 5G Core OSS,Vivek Rao,Negotiation,780000,0,4/26/2026,2026-Q2,12,0.86,1,3,3,3,Multi-threaded across 4 departments. Security review passed. Target close end of month.,897000,1
D-2070,Larsen & Toubro Smart Site,Ananya Shah,Proposal,610000,0,6/26/2026,2026-Q2,4,0.79,1,12,5,6,Multi-threaded across 4 departments. Security review passed. Target close end of month.,702000,1
D-2071,Shopify Plus Scale Engine,Amit Kulkarni,Negotiation,196000,0,5/8/2026,2026-Q2,34,0.23,1,3,3,5,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,220000,1
D-2072,Twilio SMS Trunking,Amit Kulkarni,Discovery,168000,0,4/22/2026,2026-Q2,35,0.48,1,8,0,5,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,188000,1
D-2073,KPMG Global Consulting,Karan Mehta,Proposal,318000,0,6/24/2026,2026-Q2,1,0.33,1,1,1,1,Executive champion resigned last week. Need urgent re-threading to new VP Product.,356000,1
D-2074,Twilio SMS Trunking,Karan Mehta,Proposal,277000,0,4/8/2026,2026-Q2,32,0.75,1,2,1,3,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,310000,1
D-2075,Schneider Electric Grid,Rohan Jain,Proposal,341000,0,6/11/2026,2026-Q2,45,0.87,0,6,3,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,382000,1
D-2076,Cognizant Digital Core,Neha Desai,Negotiation,285000,0,5/26/2026,2026-Q2,7,0.22,1,7,2,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,319000,1
D-2077,Honeywell Aerospace Avionics,Amit Kulkarni,Proposal,92000,0,6/22/2026,2026-Q2,38,0.73,1,2,4,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,103000,1
D-2078,Deloitte Advisory Tech,Ananya Shah,Negotiation,181000,0,6/28/2026,2026-Q2,8,0.58,1,0,1,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,203000,1
D-2079,Bosch Smart Mobility,Ishita Rao,Negotiation,258000,0,5/28/2026,2026-Q2,18,0.42,1,11,4,4,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,289000,1
D-2080,Box Content Cloud,Neha Desai,Proposal,217000,0,6/5/2026,2026-Q2,28,0.4,0,9,4,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,243000,1
D-2081,Cloudflare Zero Trust SASE,Ananya Shah,Proposal,340000,0,6/24/2026,2026-Q2,34,0.48,0,0,0,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,381000,1
D-2082,Shopify Plus Scale Engine,Sneha Joshi,Discovery,126000,0,4/1/2026,2026-Q2,15,0.24,1,7,2,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,141000,1
D-2083,Cognizant Digital Core,Ananya Shah,Prospecting,209000,0,4/5/2026,2026-Q2,37,0.57,0,7,1,1,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,234000,1
D-2084,Shopify Plus Scale Engine,Vivek Rao,Proposal,94000,0,6/17/2026,2026-Q2,3,0.72,0,1,5,2,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,105000,1
D-2085,Box Content Cloud,Rohan Jain,Negotiation,176000,0,5/21/2026,2026-Q2,15,0.32,1,3,4,4,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",197000,1
D-2086,Shopify Plus Scale Engine,Ananya Shah,Negotiation,188000,0,5/18/2026,2026-Q2,11,0.65,1,5,2,4,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,211000,1
D-2087,Box Content Cloud,Meera Nair,Qualification,297000,0,5/7/2026,2026-Q2,27,0.24,0,7,0,1,Executive champion resigned last week. Need urgent re-threading to new VP Product.,333000,1
D-2088,Accenture Cloud First,Arjun Verma,Discovery,231000,0,4/9/2026,2026-Q2,2,0.4,0,9,2,2,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,259000,1
D-2089,KPMG Global Consulting,Ananya Shah,Proposal,319000,0,6/8/2026,2026-Q2,33,0.62,0,4,4,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,357000,1
D-2090,Deloitte Advisory Tech,Sneha Joshi,Proposal,107000,0,4/5/2026,2026-Q2,4,0.45,0,8,2,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,120000,1
D-2091,Capgemini Engineering Labs,Priya Patil,Prospecting,210000,0,6/19/2026,2026-Q2,9,0.35,0,6,3,1,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,235000,1
D-2092,Shopify Plus Scale Engine,Rahul Sharma,Negotiation,205000,0,6/13/2026,2026-Q2,34,0.57,1,7,1,4,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,230000,1
D-2093,Deloitte Advisory Tech,Ishita Rao,Prospecting,317000,0,4/15/2026,2026-Q2,45,0.86,1,0,1,5,Executive champion resigned last week. Need urgent re-threading to new VP Product.,355000,1
D-2094,Bajaj Finserv Lending Core,Ananya Shah,Discovery,330000,0,6/27/2026,2026-Q2,38,0.27,0,0,5,1,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",370000,1
D-2095,Capgemini Engineering Labs,Vivek Rao,Negotiation,227000,0,6/3/2026,2026-Q2,15,0.26,0,5,1,4,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,254000,1
D-2096,Bajaj Finserv Lending Core,Neha Desai,Proposal,200000,0,6/14/2026,2026-Q2,12,0.26,0,12,4,1,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",224000,1
D-2097,PwC Enterprise Assurance,Vivek Rao,Proposal,301000,0,6/26/2026,2026-Q2,45,0.37,1,5,5,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,337000,1
D-2098,ABB Robotics Automation,Priya Patil,Proposal,223000,0,4/12/2026,2026-Q2,17,0.85,0,3,0,5,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,250000,1
D-2099,Adani Green Energy,Rohan Jain,Discovery,311000,0,4/22/2026,2026-Q2,44,0.38,1,10,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,348000,1
D-2100,IBM RedHat Openshift,Neha Desai,Discovery,329000,0,5/23/2026,2026-Q2,33,0.4,1,0,3,1,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,368000,1
D-2101,KPMG Global Consulting,Amit Kulkarni,Negotiation,26000,0,5/10/2026,2026-Q2,17,0.58,0,5,1,4,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,29000,1
D-2102,Cloudflare Zero Trust SASE,Neha Desai,Proposal,325000,0,4/12/2026,2026-Q2,43,0.75,1,10,1,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,364000,1
D-2103,Adani Green Energy,Karan Mehta,Proposal,263000,0,6/21/2026,2026-Q2,9,0.28,1,8,3,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,295000,1
D-2104,ICICI Securities Wealth,Ananya Shah,Prospecting,271000,0,4/28/2026,2026-Q2,6,0.86,0,0,0,3,Executive champion resigned last week. Need urgent re-threading to new VP Product.,304000,1
D-2105,HubSpot RevOps Upgrade,Neha Desai,Proposal,119000,0,4/17/2026,2026-Q2,8,0.67,1,9,1,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,133000,1
D-2106,PwC Enterprise Assurance,Priya Patil,Proposal,156000,0,5/8/2026,2026-Q2,8,0.81,0,8,2,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,175000,1
D-2107,Accenture Cloud First,Vivek Rao,Negotiation,58000,0,4/5/2026,2026-Q2,19,0.83,1,6,0,4,"Contract sent for signature, but procurement has paused new software onboarding pending quarterly budget freeze.",65000,1
D-2108,Accenture Cloud First,Vivek Rao,Discovery,353000,0,6/18/2026,2026-Q2,18,0.56,1,8,4,1,Executive champion resigned last week. Need urgent re-threading to new VP Product.,395000,1
D-2109,ICICI Securities Wealth,Rahul Sharma,Negotiation,137000,0,5/26/2026,2026-Q2,19,0.55,1,8,2,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,153000,1
D-2110,Shopify Plus Scale Engine,Arjun Verma,Negotiation,150000,0,6/12/2026,2026-Q2,43,0.36,1,7,0,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,168000,1
D-2111,Cognizant Digital Core,Amit Kulkarni,Discovery,245000,0,4/12/2026,2026-Q2,5,0.25,1,2,0,5,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,274000,1
D-2112,Honeywell Aerospace Avionics,Arjun Verma,Proposal,376000,0,4/27/2026,2026-Q2,6,0.72,0,1,1,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,421000,1
D-2113,Mahindra Auto Telematics,Sneha Joshi,Proposal,335000,0,5/24/2026,2026-Q2,36,0.25,0,5,3,5,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,375000,1
D-2114,Honeywell Aerospace Avionics,Arjun Verma,Discovery,248000,0,6/3/2026,2026-Q2,32,0.39,1,11,1,2,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,278000,1
D-2115,Workday Global HRIS,Rahul Sharma,Prospecting,254000,0,6/6/2026,2026-Q2,13,0.59,0,3,3,5,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,284000,1
D-2116,Capgemini Engineering Labs,Karan Mehta,Proposal,149000,0,6/14/2026,2026-Q2,22,0.21,0,5,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,167000,1
D-2117,Cloudflare Zero Trust SASE,Rohan Jain,Qualification,288000,0,6/24/2026,2026-Q2,26,0.58,1,5,3,3,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,323000,1
D-2118,Capgemini Engineering Labs,Ishita Rao,Qualification,202000,0,4/14/2026,2026-Q2,40,0.74,1,2,1,3,Budget approved in FY26 OPEX. Contract redlines with outside counsel.,226000,1
D-2119,Deloitte Advisory Tech,Arjun Verma,Proposal,194000,0,4/25/2026,2026-Q2,30,0.46,1,2,2,1,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,217000,1
D-2120,Workday Global HRIS,Rahul Sharma,Discovery,43000,0,6/5/2026,2026-Q2,41,0.78,1,1,3,1,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,48000,1
D-2121,Shopify Plus Scale Engine,Amit Kulkarni,Qualification,272000,0,4/16/2026,2026-Q2,18,0.61,1,11,1,2,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,305000,1
D-2122,Mahindra Auto Telematics,Rohan Jain,Negotiation,44000,0,6/26/2026,2026-Q2,22,0.35,0,8,1,3,Stalled in legal for 32 days over data residency indemnification clause. Needs executive sponsor escalation.,49000,1
D-2123,Bosch Smart Mobility,Rohan Jain,Prospecting,113000,0,6/1/2026,2026-Q2,25,0.63,1,4,0,4,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,127000,1
D-2124,Capgemini Engineering Labs,Sneha Joshi,Qualification,180000,0,5/11/2026,2026-Q2,15,0.4,1,7,3,4,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,202000,1
D-2125,Deloitte Advisory Tech,Ishita Rao,Discovery,47000,0,5/18/2026,2026-Q2,12,0.81,1,12,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,53000,1
D-2126,Cognizant Digital Core,Priya Patil,Discovery,191000,0,4/9/2026,2026-Q2,27,0.39,0,1,0,4,Executive champion resigned last week. Need urgent re-threading to new VP Product.,214000,1
D-2127,Cloudflare Zero Trust SASE,Priya Patil,Discovery,171000,0,5/26/2026,2026-Q2,16,0.68,0,5,5,2,Competitive bake-off against Clari. High stakeholder engagement across 4 departments. Proposal in final approval.,192000,1
D-2128,Honeywell Aerospace Avionics,Ishita Rao,Discovery,190000,0,4/14/2026,2026-Q2,34,0.43,0,4,0,3,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,213000,1
D-2129,Box Content Cloud,Neha Desai,Qualification,285000,0,4/23/2026,2026-Q2,24,0.6,1,9,4,5,Executive champion resigned last week. Need urgent re-threading to new VP Product.,319000,1
D-2130,Capgemini Engineering Labs,Arjun Verma,Proposal,232000,0,4/28/2026,2026-Q2,5,0.85,0,9,4,2,Economic buyer (CIO) skipped last 2 review calls. Champion is VP Engineering. Legal review pending.,260000,1
D-2131,Capgemini Engineering Labs,Ananya Shah,Proposal,313000,0,6/10/2026,2026-Q2,16,0.27,1,2,3,1,POC validated with 99.8% SLA. Technical win confirmed. Waiting on CFO sign-off.,351000,1
D-2132,Siemens Industrial IoT,Vivek Rao,Qualification,378000,0,5/27/2026,2026-Q2,23,0.28,1,0,2,5,Multi-threaded across 5 stakeholders. Security review signed off. High confidence close.,423000,1
